la_code,la_name,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
00-NC,Gwynedd - Gwynedd,71,2,84,4,8,16,26,13.7,21.7,0.2,80,5.4,10.3,51.7,0,1.1,3.5,0,20,0.7,1.1,10.5,0,2849,5504,10840,11640,11753,0,97.5,53.4,74.9,150,0
00-NE,Conwy - Conwy,87,0,92,2,4,8,13,13.7,19.6,0.1,80,5.3,11,51.5,0,1.1,2.8,0,20,0.8,1.1,10.9,0,1967,5370,8944,14924,8412,0,110.3,59.6,83.8,200.4,0
00-NG,Sir Ddinbych - Denbighshire,79,0,84,2,6,12,21,14.7,20.6,0.1,80,5.5,11.5,51.5,0,1.1,3,0.1,20,0.8,1.1,10.9,0,1439,3902,7297,12665,7484,0,121.8,65.6,98,196.6,0
00-NJ,Sir y Fflint - Flintshire,83,2,92,1,4,8,14,13.5,22,0.2,220,5.2,9.8,50.3,0,1,3.5,0.1,20,0.8,1.1,10.6,0,2646,7983,11158,13440,15210,0,122.2,67.9,88.6,193.8,0
00-NL,Wrecsam - Wrexham,86,1,92,1,3,7,13,13.3,21.8,0.1,1000,5.4,10.1,50.5,1000,1.1,3.4,0.1,20,0.8,1.1,10.8,0,1870,6565,10251,12519,12529,6,124.4,72,92.5,198,0
00-NN,Powys - Powys,60,0,72,7,16,27,40,8.2,15.8,0.1,80,5.2,9.9,51.4,0,1,2.2,0,20,0.7,1,10.6,0,4618,7658,14043,15588,6866,0,86.6,54.3,71.8,169.8,0
00-NQ,Sir Ceredigion - Ceredigion,58,0,70,9,17,30,42,8.1,16.8,0.2,80,4.8,9,52.4,0,1,2.5,0.1,20,0.7,1,10.8,0,2735,4663,6879,6560,4554,0,81.3,49.4,64.6,151.5,0
00-NS,Sir Benfro - Pembrokeshire,76,0,85,4,9,15,23,11.8,19.8,0.2,80,5,10,51.9,0,1.1,2.9,0,20,0.7,1,10.8,0,3347,6634,10167,12971,10023,0,94.4,54.4,72,154.7,0
00-NU,Sir Gaerfyrddin - Carmarthenshire,75,0,83,4,10,15,25,9.8,16.6,0,80,4.9,9.6,49.8,0,1,2.4,0,20,0.7,1,10.5,0,5399,11397,14677,20125,10793,0,109.8,64.7,88.2,207.1,0
00-NX,Abertawe - Swansea,94,1,96,0,1,2,5,26.4,47.8,0.1,300,5.5,11.7,84.6,300,2,4.1,0.1,20,0.8,1.1,7.3,13.8,2073,6583,11647,22168,41736,13,127.5,76.9,99.5,155.6,331.3
00-NZ,Castell-nedd Port Talbot - Neath Port Talbot,93,0,96,1,2,2,7,21.4,44.4,0.1,300,5.2,11.2,85.1,300,1.3,3.9,0,20,0.8,1.1,7.4,13.6,1565,4996,7208,12846,21708,7,129.8,78.6,106.8,160.6,254.1
00-PB,Pen-y-bont ar Ogwr - Bridgend,92,0,96,1,2,3,8,14.6,21.8,0,80,5.1,10.5,50.5,0,1,3.3,0,20,0.8,1.1,10.7,0,2101,7052,9812,14646,13203,0,134.3,76.1,99.4,218.8,0
00-PD,Bro Morgannwg - the Vale of Glamorgan,90,0,94,1,3,5,10,20,38.9,0.1,300,5.4,11.1,75.5,300,1.2,3.9,0,20,0.8,1.1,8.1,15,1533,4250,7599,12361,19461,1,108.9,73.8,91.8,131.4,46.4
00-PF,Rhondda Cynon Taf - Rhondda Cynon Taff,94,0,98,0,1,2,5,14.6,24.4,0.1,300,5.2,10.2,56.2,300,1.1,3.5,0,20,0.8,1.1,10,10,3634,11477,15799,21948,23644,3,140.4,79.4,104.1,218.8,308.6
00-PH,Merthyr Tudful - Merthyr Tydfil,29,2,33,0,11,40,69,11.2,19.5,0.1,80,5.3,9.6,49.7,0,1,3,0,20,0.8,1.1,10.9,0,779,3213,4713,5245,4534,0,139.9,90.1,108.2,231.9,0
00-PK,Caerffili - Caerphilly,93,0,98,0,1,2,7,13.7,21.2,0.1,80,5.2,10.2,49.6,0,1,3.3,0.1,20,0.8,1.1,10.7,0,2669,9042,12627,16919,16030,0,142.7,79.3,100.4,246.7,0
00-PL,Blaenau Gwent - Blaenau Gwent,96,1,100,0,0,1,3,16.7,21.6,0.2,80,5.7,12.6,50.3,0,1.1,2.9,0.1,20,0.8,1.1,10.3,0,522,2331,4263,9389,5181,0,139.9,80.7,110.6,225.8,0
00-PM,Tor-faen - Torfaen,93,0,95,0,2,3,7,13.5,30.1,0.1,300,5.4,9.2,69.4,300,1.1,3.5,0,20,0.8,1,8.8,15,1337,4441,7475,6835,10693,1,133.3,82.4,97.2,197.9,1444.2
00-PP,Sir Fynwy - Monmouthshire,77,2,89,3,8,13,22,12.6,19.6,0.1,80,5.3,10.4,52.6,0,1.1,2.8,0,20,0.8,1.1,11,0,1901,4448,8116,11302,7181,0,102.5,66.5,81.6,173.1,0
